x_coord,y_coord,Bent,Exotic,FR I,FR II,Point Source,S/Z shaped,Should be discarded,X-Shaped,typical,confidence,max_prob,num_labels
0.28,-84.98,1,0,0,0,0,0,0,0,0,0.53762597,0.53762597,1
0.315,-85.347,1,0,0,0,0,0,0,0,0,0.502265,0.502265,1
0.408,-24.969,0,0,0,0,0,0,0,0,0,0.49330628,0.49330628,0
0.443,-24.64,0,0,0,1,0,0,0,0,0,0.51036435,0.51036435,1
0.448,-24.695,0,0,1,0,0,0,0,0,0,0.7285795,0.7285795,1
0.558,-24.367,0,0,0,1,0,0,0,0,0,0.5870682,0.5870682,1
0.562,-85.718,0,0,0,0,0,0,0,0,0,0.47655073,0.47655073,0
0.581,-24.671,0,0,0,0,0,0,0,0,0,0.4784812,0.4784812,0
0.624,-84.625,0,0,0,0,0,0,0,0,0,0.49804017,0.49804017,0
0.68,-24.755,0,0,0,0,0,0,0,0,0,0.4700076,0.4700076,0
0.71,-25.068,0,0,0,1,0,0,0,0,0,0.6077378,0.6077378,1
0.71,-25.274,0,0,0,0,1,0,0,0,0,0.5100225,0.5100225,1
0.768,-24.734,0,0,0,0,1,0,0,0,0,0.56701493,0.56701493,1
0.769,-24.75,0,0,0,0,0,0,0,0,0,0.4211272,0.4211272,0
0.802,-24.905,0,0,0,0,0,0,0,0,0,0.44384405,0.44384405,0
0.815,-24.799,1,0,0,0,0,0,0,0,0,0.5213669,0.5213669,1
0.832,-24.709,0,0,1,0,0,0,0,0,0,0.6639759,0.6639759,1
0.847,-24.167,0,0,0,0,0,0,0,0,0,0.4800966,0.4800966,0
0.851,-24.632,1,0,0,0,0,0,0,0,0,0.52837497,0.52837497,1
0.892,-24.218,1,0,1,0,0,0,0,0,0,0.5412118,0.5412118,2
0.9,-25.448,0,0,0,1,0,0,0,0,0,0.6465541,0.6465541,1
0.923,-24.804,0,0,0,0,0,0,0,0,0,0.4848286,0.4848286,0
0.947,-25.34,0,0,0,0,1,0,0,0,0,0.5520627,0.5520627,1
0.971,-24.29,1,0,0,0,0,0,0,0,0,0.5656877,0.5656877,1
1.032,-24.344,0,0,1,0,0,0,0,0,0,0.54868907,0.54868907,1
