x_coord,y_coord,Bent,Exotic,FR I,FR II,Point Source,S/Z shaped,Should be discarded,X-Shaped,typical
0.28,-84.98,0,0,0,1,0,0,0,0,0
0.315,-85.347,0,0,0,0,0,0,0,0,0
0.408,-24.969,0,0,0,0,0,0,0,0,0
0.443,-24.64,0,0,0,1,0,0,0,0,0
0.448,-24.695,0,0,0,0,0,0,0,0,0
0.558,-24.367,0,0,0,1,0,0,0,0,0
0.562,-85.718,0,0,0,0,0,0,0,0,0
0.581,-24.671,0,0,0,0,0,0,0,0,0
0.624,-84.625,0,0,0,0,0,0,0,0,0
0.68,-24.755,0,0,1,0,0,0,0,0,0
0.71,-25.068,0,0,0,1,0,0,0,0,0
0.71,-25.274,0,0,1,0,0,0,0,0,0
0.768,-24.734,0,0,0,0,1,0,0,0,0
0.769,-24.75,0,0,0,0,0,0,0,0,0
0.802,-24.905,0,0,0,1,0,0,0,0,0
0.815,-24.799,0,0,0,0,0,0,0,0,0
0.832,-24.709,0,0,0,0,0,0,0,0,0
0.847,-24.167,0,0,0,0,0,0,0,0,0
0.851,-24.632,0,0,0,0,0,0,0,0,0
0.892,-24.218,0,0,0,0,0,0,0,0,0
0.9,-25.448,0,0,0,0,0,0,0,0,0
0.923,-24.804,0,0,0,0,0,0,0,0,0
0.947,-25.34,0,0,0,0,0,0,0,0,0
0.971,-24.29,0,0,0,0,0,0,0,0,0
1.032,-24.344,0,0,0,0,0,0,0,0,0
1.068,-24.605,0,0,0,0,0,0,0,0,0
1.069,-24.397,0,0,0,1,0,0,0,0,0
1.077,-24.45,0,0,0,0,0,0,0,0,0
1.091,-24.631,0,0,0,1,0,0,0,0,0
1.1,-24.445,0,0,0,1,0,0,0,0,0
1.101,-24.996,0,0,0,1,0,0,0,0,0
1.109,-24.936,0,0,0,0,0,0,0,0,0
1.118,-24.696,0,0,0,1,0,0,0,0,0
1.129,-24.866,0,0,0,0,1,0,0,0,0
1.13,-25.121,0,0,0,0,1,0,0,0,0
1.144,-24.526,0,0,0,1,0,0,0,0,0
1.158,-24.189,0,0,0,0,1,0,0,0,0
1.159,-66.941,0,0,1,0,0,0,0,0,0
1.161,-23.746,0,0,0,0,0,0,0,0,0
1.166,-24.878,0,0,0,0,0,0,0,0,0
1.213,-24.959,0,0,1,0,0,0,0,0,0
1.22,-24.566,0,0,0,0,0,0,0,0,0
1.227,-24.34,0,0,0,1,0,0,0,0,0
1.228,-24.668,0,0,0,1,0,0,0,0,0
1.236,-24.883,0,0,0,0,0,0,0,0,0
1.24,-24.761,0,0,0,0,0,0,0,0,0
1.244,-24.585,0,0,0,1,0,0,0,0,0
