x_coord,y_coord,Bent,Exotic,FR I,FR II,Point Source,S/Z shaped,Should be discarded,X-Shaped,typical,confidence,max_prob,num_labels
0.28,-84.98,0,0,0,1,0,0,0,0,0,0.57508844,0.57508844,1
0.315,-85.347,0,0,0,0,0,0,0,0,0,0.41756955,0.41756955,0
0.408,-24.969,0,0,0,0,0,0,0,0,0,0.481588,0.481588,0
0.443,-24.64,0,0,0,1,0,0,0,0,0,0.5293946,0.5293946,1
0.448,-24.695,0,0,0,0,0,0,0,0,0,0.4735799,0.4735799,0
0.558,-24.367,0,0,0,1,0,0,0,0,0,0.5033003,0.5033003,1
0.562,-85.718,0,0,0,0,0,0,0,0,0,0.46792257,0.46792257,0
0.581,-24.671,0,0,0,0,0,0,0,0,0,0.38997135,0.38997135,0
0.624,-84.625,0,0,0,0,0,0,0,0,0,0.4747101,0.4747101,0
0.68,-24.755,0,0,1,0,0,0,0,0,0,0.5125225,0.5125225,1
0.71,-25.068,0,0,0,1,0,0,0,0,0,0.5264342,0.5264342,1
0.71,-25.274,0,0,1,0,0,0,0,0,0,0.55280465,0.55280465,1
0.768,-24.734,0,0,0,0,1,0,0,0,0,0.5011501,0.5011501,1
0.769,-24.75,0,0,0,0,0,0,0,0,0,0.48370546,0.48370546,0
0.802,-24.905,0,0,0,1,0,0,0,0,0,0.50844413,0.50844413,1
0.815,-24.799,0,0,0,0,0,0,0,0,0,0.40607965,0.40607965,0
0.832,-24.709,0,0,0,0,0,0,0,0,0,0.46530634,0.46530634,0
0.847,-24.167,0,0,0,0,0,0,0,0,0,0.45170382,0.45170382,0
0.851,-24.632,0,0,0,0,0,0,0,0,0,0.46392083,0.46392083,0
0.892,-24.218,0,0,0,0,0,0,0,0,0,0.4370407,0.4370407,0
0.9,-25.448,0,0,0,0,0,0,0,0,0,0.47624046,0.47624046,0
0.923,-24.804,0,0,0,0,0,0,0,0,0,0.46920088,0.46920088,0
0.947,-25.34,0,0,0,0,0,0,0,0,0,0.4394691,0.4394691,0
0.971,-24.29,0,0,0,0,0,0,0,0,0,0.44052282,0.44052282,0
1.032,-24.344,0,0,0,0,0,0,0,0,0,0.46085277,0.46085277,0
1.068,-24.605,0,0,0,0,0,0,0,0,0,0.44911784,0.44911784,0
1.069,-24.397,0,0,0,1,0,0,0,0,0,0.64648515,0.64648515,1
1.077,-24.45,0,0,0,0,0,0,0,0,0,0.41700965,0.41700965,0
